 name:     cobalt                                                 Feff 8.10
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 Abs   Z=27 Rmt= 1.331 Rnm= 1.367 K  shell
 Pot 1 Z=27 Rmt= 1.340 Rnm= 1.378
 Gam_ch=1.436E+00 H-L exch
 Mu=-5.188E+00 kf=2.078E+00 Vint=-2.163E+01 Rs_int= 1.746
 -----------------------------------------------------------------------
    file        sig2   amp ratio    deg    nlegs  r effective
 feff0001.dat  .00000   100.000     6.000     2   2.4982
 feff0002.dat  .00000    99.004     6.000     2   2.5100
 feff0003.dat  .00000    45.393     6.000     2   3.5413
 feff0004.dat  .00000     5.382    12.000     3   3.7532
 feff0005.dat  .00000    11.003    24.000     3   3.7533
 feff0006.dat  .00000     5.398    12.000     3   3.7650
 feff0007.dat  .00000    10.752     2.000     2   4.0700
 feff0008.dat  .00000     6.876    24.000     3   4.2748
 feff0009.dat  .00000    10.191    24.000     3   4.2748
 feff0010.dat  .00000    10.205    24.000     3   4.2748
 feff0011.dat  .00000    54.802    12.000     2   4.3407
 feff0012.dat  .00000    27.291     6.000     2   4.3474
 feff0013.dat  .00000     5.572    12.000     3   4.5332
 feff0014.dat  .00000    10.893    24.000     3   4.6745
 feff0015.dat  .00000    12.382    24.000     3   4.6744
 feff0016.dat  .00000    12.377    24.000     3   4.6745
 feff0017.dat  .00000     5.374    12.000     3   4.6837
 feff0018.dat  .00000    12.186    24.000     3   4.6837
 feff0019.dat  .00000    42.630    12.000     2   4.7817
 feff0020.dat  .00000    11.424    12.000     3   4.8891
 feff0021.dat  .00000    23.700    24.000     3   4.8891
 feff0022.dat  .00000     3.349    12.000     4   4.9965
 feff0023.dat  .00000     4.059     6.000     4   4.9965
 feff0024.dat  .00000     3.848    12.000     4   4.9965
 feff0026.dat  .00000     3.593    24.000     4   5.0082
 feff0027.dat  .00000    18.738     6.000     2   5.0200
 feff0028.dat  .00000     8.462     6.000     3   5.0200
 feff0029.dat  .00000    50.365    12.000     3   5.0200
 feff0030.dat  .00000    10.423     6.000     4   5.0200
 feff0031.dat  .00000     3.970     6.000     4   5.0200
 feff0032.dat  .00000    41.282     6.000     4   5.0200
 feff0033.dat  .00000     4.838    24.000     3   5.1960
 feff0034.dat  .00000     5.109    24.000     3   5.1960
 feff0035.dat  .00000     5.580    24.000     3   5.4107
