 name:     cobalt                                                 Feff 8.10
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 Abs   Z=27 Rmt= 1.331 Rnm= 1.367 K  shell
 Pot 1 Z=27 Rmt= 1.340 Rnm= 1.378
 Gam_ch=1.436E+00 H-L exch
 Mu=-5.188E+00 kf=2.078E+00 Vint=-2.163E+01 Rs_int= 1.746
 S02   .949                                        Global sig2   .00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
          1        .00000    100.00      6.00     2   2.4982
          2        .00000     99.00      6.00     2   2.5100
          3        .00000     45.39      6.00     2   3.5413
          4        .00000      5.38     12.00     3   3.7532
          5        .00000     11.00     24.00     3   3.7533
          6        .00000      5.40     12.00     3   3.7650
          7        .00000     10.75      2.00     2   4.0700
          8        .00000      6.88     24.00     3   4.2748
          9        .00000     10.19     24.00     3   4.2748
         10        .00000     10.20     24.00     3   4.2748
         11        .00000     54.80     12.00     2   4.3407
         12        .00000     27.29      6.00     2   4.3474
         13        .00000      5.57     12.00     3   4.5332
         14        .00000     10.89     24.00     3   4.6745
         15        .00000     12.38     24.00     3   4.6744
         16        .00000     12.38     24.00     3   4.6745
         17        .00000      5.37     12.00     3   4.6837
         18        .00000     12.19     24.00     3   4.6837
         19        .00000     42.63     12.00     2   4.7817
         20        .00000     11.42     12.00     3   4.8891
         21        .00000     23.70     24.00     3   4.8891
         23        .00000      4.06      6.00     4   4.9965
         27        .00000     18.74      6.00     2   5.0200
         28        .00000      8.46      6.00     3   5.0200
         29        .00000     50.36     12.00     3   5.0200
         30        .00000     10.42      6.00     4   5.0200
         32        .00000     41.28      6.00     4   5.0200
         33        .00000      4.84     24.00     3   5.1960
         34        .00000      5.11     24.00     3   5.1960
         35        .00000      5.58     24.00     3   5.4107
   30/  34 paths used
 xsedge+50, used to normalize mu           2.9288E-04
 -----------------------------------------------------------------------
  e, e(wrt edge), k, mu=(1+chi)*mu0, mu0, chi @#
    7715.342     -5.188    .000  8.02287E-02  4.05633E-01 -4.19864E-01
    7715.352     -5.179    .050  8.71027E-02  4.12396E-01 -4.19452E-01
    7715.380     -5.150    .100  9.39960E-02  4.19160E-01 -4.19016E-01
    7715.428     -5.102    .150  1.14313E-01  4.39016E-01 -4.17613E-01
    7715.495     -5.036    .200  1.34801E-01  4.58872E-01 -4.15996E-01
    7715.580     -4.950    .250  1.66513E-01  4.89228E-01 -4.12962E-01
