natx =       65
    x       y        z       iph  
      0.00000      0.00000      0.00000   0
      1.43500      1.43500      1.43500   1
     -1.43500      1.43500      1.43500   1
      1.43500     -1.43500      1.43500   1
     -1.43500     -1.43500      1.43500   1
      1.43500      1.43500     -1.43500   1
     -1.43500      1.43500     -1.43500   1
      1.43500     -1.43500     -1.43500   1
     -1.43500     -1.43500     -1.43500   1
      2.87000      0.00000      0.00000   1
     -2.87000      0.00000      0.00000   1
      0.00000      2.87000      0.00000   1
      0.00000     -2.87000      0.00000   1
      0.00000      0.00000      2.87000   1
      0.00000      0.00000     -2.87000   1
      2.87000      2.87000      0.00000   1
     -2.87000      2.87000      0.00000   1
      2.87000     -2.87000      0.00000   1
     -2.87000     -2.87000      0.00000   1
      2.87000      0.00000      2.87000   1
     -2.87000      0.00000      2.87000   1
      0.00000      2.87000      2.87000   1
      0.00000     -2.87000      2.87000   1
      2.87000      0.00000     -2.87000   1
     -2.87000      0.00000     -2.87000   1
      0.00000      2.87000     -2.87000   1
      0.00000     -2.87000     -2.87000   1
      1.43500      1.43500      4.30500   1
     -1.43500      1.43500      4.30500   1
      1.43500     -1.43500      4.30500   1
     -1.43500     -1.43500      4.30500   1
      1.43500      1.43500     -4.30500   1
     -1.43500      1.43500     -4.30500   1
      1.43500     -1.43500     -4.30500   1
     -1.43500     -1.43500     -4.30500   1
      4.30500      1.43500      1.43500   1
     -4.30500      1.43500      1.43500   1
      1.43500      4.30500      1.43500   1
     -1.43500      4.30500      1.43500   1
      4.30500     -1.43500      1.43500   1
     -4.30500     -1.43500      1.43500   1
      1.43500     -4.30500      1.43500   1
     -1.43500     -4.30500      1.43500   1
      4.30500      1.43500     -1.43500   1
     -4.30500      1.43500     -1.43500   1
      1.43500      4.30500     -1.43500   1
     -1.43500      4.30500     -1.43500   1
      4.30500     -1.43500     -1.43500   1
     -4.30500     -1.43500     -1.43500   1
      1.43500     -4.30500     -1.43500   1
     -1.43500     -4.30500     -1.43500   1
      2.87000      2.87000      2.87000   1
     -2.87000      2.87000      2.87000   1
      2.87000     -2.87000      2.87000   1
     -2.87000     -2.87000      2.87000   1
      2.87000      2.87000     -2.87000   1
     -2.87000      2.87000     -2.87000   1
      2.87000     -2.87000     -2.87000   1
     -2.87000     -2.87000     -2.87000   1
      5.74000      0.00000      0.00000   1
     -5.74000      0.00000      0.00000   1
      0.00000      5.74000      0.00000   1
      0.00000     -5.74000      0.00000   1
      0.00000      0.00000      5.74000   1
      0.00000      0.00000     -5.74000   1
