# name:     iron                                                 Feff 8.20   
# formula:  Fe
# sites:    Fe1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, bcc
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.347 Rnm= 1.395 K  shell
# Pot 1 Z=26 Rmt= 1.358 Rnm= 1.408
# Gam_ch=1.309E+00 H-L exch Vi= 2.000E+00 Vr= 0.000E+00
# Mu=-5.451E+00 kf=2.045E+00 Vint=-2.138E+01 Rs_int= 1.773
# PATH  Rmax= 5.468,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.944                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.4855
#           2       0.00000     51.86      6.00     2   2.8700
#           3       0.00000     13.22     48.00     3   3.9205
#           4       0.00000     39.56     12.00     2   4.0588
#           5       0.00000      4.94     24.00     3   4.5149
#           6       0.00000     12.37     48.00     3   4.5149
#           7       0.00000     48.97     24.00     2   4.7594
#           8       0.00000      6.29     48.00     3   4.8994
#           9       0.00000     14.25      8.00     2   4.9710
#          10       0.00000      6.67      8.00     3   4.9710
#          11       0.00000     45.94     16.00     3   4.9710
#          12       0.00000      9.75      8.00     4   4.9710
#          14       0.00000     41.22      8.00     4   4.9710
#          15       0.00000     11.17     48.00     3   5.0574
#          16       0.00000     12.24     48.00     3   5.0574
#          17       0.00000     12.37     48.00     3   5.0574
#    16/  18 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -2.166529E-01  2.218555E-01 -1.353805E+00
     0.0500   -2.163005E-01  2.217736E-01 -1.348171E+00
     0.1000   -2.159390E-01  2.216895E-01 -1.342531E+00
     0.1500   -2.148149E-01  2.214339E-01 -1.325678E+00
     0.2000   -2.136100E-01  2.211591E-01 -1.308764E+00
     0.2500   -2.114568E-01  2.206771E-01 -1.280708E+00
     0.3000   -2.090856E-01  2.201436E-01 -1.252497E+00
     0.3500   -2.054818E-01  2.193507E-01 -1.213291E+00
     0.4000   -2.014733E-01  2.184618E-01 -1.173824E+00
     0.4500   -1.958893E-01  2.172535E-01 -1.123598E+00
     0.5000   -1.896980E-01  2.158977E-01 -1.073023E+00
     0.5500   -1.815906E-01  2.141646E-01 -1.012015E+00
     0.6000   -1.727091E-01  2.122332E-01 -9.506105E-01
     0.6500   -1.616535E-01  2.098802E-01 -8.791832E-01
     0.7000   -1.497590E-01  2.072876E-01 -8.073677E-01
     0.7500   -1.356003E-01  2.042521E-01 -7.260045E-01
     0.8000   -1.207040E-01  2.009538E-01 -6.443209E-01
     0.8500   -1.036875E-01  1.972206E-01 -5.535892E-01
     0.9000   -8.624068E-02  1.932256E-01 -4.626502E-01
     0.9500   -6.707787E-02  1.888404E-01 -3.631379E-01
     1.0000   -4.799141E-02  1.842214E-01 -2.635498E-01
     1.0500   -2.782358E-02  1.792716E-01 -1.558335E-01
     1.1000   -8.380720E-03  1.741407E-01 -4.814474E-02
     1.1500    1.136666E-02  1.687763E-01  6.739849E-02
     1.2000    2.970143E-02  1.633017E-01  1.828987E-01
     1.2500    4.753287E-02  1.576995E-01  3.061756E-01
     1.3000    6.332991E-02  1.520639E-01  4.295581E-01
     1.3500    7.789028E-02  1.464125E-01  5.609512E-01
     1.4000    8.993029E-02  1.407962E-01  6.928421E-01
     1.4500    1.001260E-01  1.352647E-01  8.334017E-01
     1.5000    1.074577E-01  1.298128E-01  9.751560E-01
     1.5500    1.124532E-01  1.245300E-01  1.126751E+00
     1.6000    1.143455E-01  1.193369E-01  1.280552E+00
     1.6500    1.134908E-01  1.143813E-01  1.445929E+00
     1.7000    1.093838E-01  1.094896E-01  1.614765E+00
     1.7500    1.022194E-01  1.049023E-01  1.797448E+00
     1.8000    9.184604E-02  1.003265E-01  1.984915E+00
     1.8500    7.836084E-02  9.614987E-02  2.188887E+00
     1.9000    6.217417E-02  9.192241E-02  2.398760E+00
     1.9500    4.337245E-02  8.825328E-02  2.627834E+00
     2.0000    2.320783E-02  8.447258E-02  2.863275E+00
     2.0500    9.914304E-04  8.221036E-02  3.129533E+00
     2.1000   -2.038242E-02  7.968959E-02  3.400239E+00
     2.1500   -3.912233E-02  7.692607E-02  3.675116E+00
     2.2000   -5.367550E-02  7.394447E-02  3.953919E+00
     2.2500   -6.610182E-02  7.285322E-02  4.278479E+00
     2.3000   -7.064384E-02  7.110109E-02  4.598918E+00
     2.3500   -6.737720E-02  6.877648E-02  4.914452E+00
     2.4000   -5.752093E-02  6.597674E-02  5.224246E+00
     2.4500   -4.478236E-02  6.423468E-02  5.511746E+00
     2.5000   -2.919613E-02  6.193880E-02  5.792341E+00
     2.5500   -1.289785E-02  5.922755E-02  6.063659E+00
     2.6000    2.254220E-03  5.626534E-02  6.323260E+00
     2.6500    1.571002E-02  5.422146E-02  6.577138E+00
     2.7000    2.668899E-02  5.188071E-02  6.823528E+00
     2.7500    3.460581E-02  4.933550E-02  7.060599E+00
     2.8000    3.937522E-02  4.669780E-02  7.286379E+00
     2.8500    4.106151E-02  4.372402E-02  7.503206E+00
     2.9000    4.007536E-02  4.052166E-02  7.705427E+00
     2.9500    3.720613E-02  3.722903E-02  7.889054E+00
     3.0000    3.337469E-02  3.402145E-02  8.049282E+00
     3.0500    2.890628E-02  3.059758E-02  8.188025E+00
     3.1000    2.500227E-02  2.755488E-02  8.287811E+00
     3.1500    2.231546E-02  2.528570E-02  8.343556E+00
     3.2000    2.115413E-02  2.421498E-02  8.362233E+00
     3.2500    2.103738E-02  2.404087E-02  8.359204E+00
     3.3000    2.222898E-02  2.548742E-02  8.365188E+00
     3.3500    2.407510E-02  2.832710E-02  8.408990E+00
     3.4000    2.568503E-02  3.214013E-02  8.498885E+00
     3.4500    2.597205E-02  3.633918E-02  8.628565E+00
     3.5000    2.427300E-02  4.085808E-02  8.788656E+00
     3.5500    1.989099E-02  4.545323E-02  8.971834E+00
     3.6000    1.247634E-02  4.993062E-02  9.172228E+00
     3.6500    2.150453E-03  5.379148E-02  9.384790E+00
