PATH  Rmax= 5.468,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     8.000     2   2.4855
        2     0.00000    51.857     6.000     2   2.8700
        3     0.00000    13.224    48.000     3   3.9205
        4     0.00000    39.558    12.000     2   4.0588
        5     0.00000     4.943    24.000     3   4.5149
        6     0.00000    12.369    48.000     3   4.5149
        7     0.00000    48.970    24.000     2   4.7594
        8     0.00000     6.287    48.000     3   4.8994
        9     0.00000    14.246     8.000     2   4.9710
       10     0.00000     6.670     8.000     3   4.9710
       11     0.00000    45.941    16.000     3   4.9710
       12     0.00000     9.748     8.000     4   4.9710
       13     0.00000     3.550     8.000     4   4.9710
       14     0.00000    41.224     8.000     4   4.9710
       15     0.00000    11.175    48.000     3   5.0574
       16     0.00000    12.243    48.000     3   5.0574
       17     0.00000    12.366    48.000     3   5.0574
       19     0.00000     2.977    48.000     4   5.3555
