# name:     iron                                                 Feff 8.20   
# formula:  Fe
# sites:    Fe1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, bcc
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.347 Rnm= 1.395 K  shell
# Pot 1 Z=26 Rmt= 1.358 Rnm= 1.408
# Gam_ch=1.309E+00 H-L exch Vi= 2.000E+00 Vr= 0.000E+00
# Mu=-5.451E+00 kf=2.045E+00 Vint=-2.138E+01 Rs_int= 1.773
# PATH  Rmax= 5.468,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.944                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.4855
#           2       0.00000     51.86      6.00     2   2.8700
#           3       0.00000     13.22     48.00     3   3.9205
#           4       0.00000     39.56     12.00     2   4.0588
#           5       0.00000      4.94     24.00     3   4.5149
#           6       0.00000     12.37     48.00     3   4.5149
#           7       0.00000     48.97     24.00     2   4.7594
#           8       0.00000      6.29     48.00     3   4.8994
#           9       0.00000     14.25      8.00     2   4.9710
#          10       0.00000      6.67      8.00     3   4.9710
#          11       0.00000     45.94     16.00     3   4.9710
#          12       0.00000      9.75      8.00     4   4.9710
#          14       0.00000     41.22      8.00     4   4.9710
#          15       0.00000     11.17     48.00     3   5.0574
#          16       0.00000     12.24     48.00     3   5.0574
#          17       0.00000     12.37     48.00     3   5.0574
#    16/  18 paths used
#  xsedge+50, used to normalize mu           3.2002E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7117.337     -5.451   0.000  2.56767E-01  4.28617E-01 -2.16653E-01
    7117.346     -5.441   0.050  2.58799E-01  4.30474E-01 -2.16301E-01
    7117.375     -5.413   0.100  2.60839E-01  4.32331E-01 -2.15939E-01
    7117.422     -5.365   0.150  2.67246E-01  4.38154E-01 -2.14815E-01
    7117.489     -5.298   0.200  2.73720E-01  4.43977E-01 -2.13610E-01
    7117.575     -5.213   0.250  2.84586E-01  4.53625E-01 -2.11457E-01
    7117.679     -5.108   0.300  2.95636E-01  4.63273E-01 -2.09086E-01
    7117.803     -4.984   0.350  3.11153E-01  4.76562E-01 -2.05482E-01
    7117.946     -4.841   0.400  3.27020E-01  4.89851E-01 -2.01473E-01
    7118.108     -4.679   0.450  3.47156E-01  5.06264E-01 -1.95889E-01
    7118.289     -4.498   0.500  3.67834E-01  5.22677E-01 -1.89698E-01
    7118.489     -4.298   0.550  3.92209E-01  5.41294E-01 -1.81591E-01
    7118.708     -4.079   0.600  4.17299E-01  5.59911E-01 -1.72709E-01
    7118.946     -3.841   0.650  4.45176E-01  5.79522E-01 -1.61654E-01
    7119.203     -3.584   0.700  4.73873E-01  5.99134E-01 -1.49759E-01
    7119.480     -3.308   0.750  5.04358E-01  6.18569E-01 -1.35600E-01
    7119.775     -3.012   0.800  5.35635E-01  6.38005E-01 -1.20704E-01
    7120.089     -2.698   0.850  5.67824E-01  6.56405E-01 -1.03687E-01
    7120.423     -2.365   0.900  6.00594E-01  6.74805E-01 -8.62407E-02
    7120.775     -2.012   0.950  6.33548E-01  6.91701E-01 -6.70779E-02
    7121.147     -1.641   1.000  6.66683E-01  7.08598E-01 -4.79914E-02
